SimulationTime,runNumber,CarID,count,rate
625,28,0,6,0.0096
1250,28,0,7,0.0112
1875,28,0,3,0.0048
2500,28,0,5,0.008
3125,28,0,5,0.008
3750,28,0,7,0.0112
4375,28,0,4,0.0064
5000,28,0,8,0.0128
5625,28,0,7,0.0112
6250,28,0,7,0.0112
6875,28,0,6,0.0096
7500,28,0,2,0.0032
8125,28,0,5,0.008
8750,28,0,9,0.0144
9375,28,0,7,0.0112
10000,28,0,3,0.0048
625,28,1,5,0.008
1250,28,1,5,0.008
1875,28,1,5,0.008
2500,28,1,4,0.0064
3125,28,1,2,0.0032
3750,28,1,7,0.0112
4375,28,1,3,0.0048
5000,28,1,5,0.008
5625,28,1,8,0.0128
6250,28,1,8,0.0128
6875,28,1,7,0.0112
7500,28,1,7,0.0112
8125,28,1,8,0.0128
8750,28,1,6,0.0096
9375,28,1,8,0.0128
10000,28,1,9,0.0144
625,28,2,7,0.0112
1250,28,2,9,0.0144
1875,28,2,9,0.0144
2500,28,2,4,0.0064
3125,28,2,4,0.0064
3750,28,2,6,0.0096
4375,28,2,8,0.0128
5000,28,2,7,0.0112
5625,28,2,5,0.008
6250,28,2,8,0.0128
6875,28,2,5,0.008
7500,28,2,5,0.008
8125,28,2,6,0.0096
8750,28,2,6,0.0096
9375,28,2,7,0.0112
10000,28,2,4,0.0064
625,28,3,8,0.0128
1250,28,3,5,0.008
1875,28,3,7,0.0112
2500,28,3,9,0.0144
3125,28,3,6,0.0096
3750,28,3,9,0.0144
4375,28,3,6,0.0096
5000,28,3,5,0.008
5625,28,3,6,0.0096
6250,28,3,4,0.0064
6875,28,3,5,0.008
7500,28,3,8,0.0128
8125,28,3,2,0.0032
8750,28,3,5,0.008
9375,28,3,8,0.0128
10000,28,3,8,0.0128
625,28,4,6,0.0096
1250,28,4,6,0.0096
1875,28,4,7,0.0112
2500,28,4,5,0.008
3125,28,4,3,0.0048
3750,28,4,5,0.008
4375,28,4,4,0.0064
5000,28,4,3,0.0048
5625,28,4,6,0.0096
6250,28,4,7,0.0112
6875,28,4,7,0.0112
7500,28,4,6,0.0096
8125,28,4,6,0.0096
8750,28,4,9,0.0144
9375,28,4,8,0.0128
10000,28,4,5,0.008
625,28,5,8,0.0128
1250,28,5,3,0.0048
1875,28,5,7,0.0112
2500,28,5,6,0.0096
3125,28,5,5,0.008
3750,28,5,6,0.0096
4375,28,5,7,0.0112
5000,28,5,4,0.0064
5625,28,5,8,0.0128
6250,28,5,8,0.0128
6875,28,5,9,0.0144
7500,28,5,6,0.0096
8125,28,5,4,0.0064
8750,28,5,5,0.008
9375,28,5,8,0.0128
10000,28,5,5,0.008
625,28,6,8,0.0128
1250,28,6,6,0.0096
1875,28,6,8,0.0128
2500,28,6,4,0.0064
3125,28,6,5,0.008
3750,28,6,6,0.0096
4375,28,6,6,0.0096
5000,28,6,4,0.0064
5625,28,6,6,0.0096
6250,28,6,7,0.0112
6875,28,6,7,0.0112
7500,28,6,8,0.0128
8125,28,6,7,0.0112
8750,28,6,8,0.0128
9375,28,6,8,0.0128
10000,28,6,3,0.0048
625,28,7,3,0.0048
1250,28,7,3,0.0048
1875,28,7,7,0.0112
2500,28,7,4,0.0064
3125,28,7,6,0.0096
3750,28,7,4,0.0064
4375,28,7,4,0.0064
5000,28,7,7,0.0112
5625,28,7,8,0.0128
6250,28,7,3,0.0048
6875,28,7,5,0.008
7500,28,7,4,0.0064
8125,28,7,4,0.0064
8750,28,7,5,0.008
9375,28,7,4,0.0064
10000,28,7,5,0.008
625,28,8,2,0.0032
1250,28,8,5,0.008
1875,28,8,9,0.0144
2500,28,8,5,0.008
3125,28,8,4,0.0064
3750,28,8,8,0.0128
4375,28,8,3,0.0048
5000,28,8,6,0.0096
5625,28,8,3,0.0048
6250,28,8,7,0.0112
6875,28,8,4,0.0064
7500,28,8,6,0.0096
8125,28,8,6,0.0096
8750,28,8,6,0.0096
9375,28,8,6,0.0096
10000,28,8,6,0.0096
625,28,9,5,0.008
1250,28,9,5,0.008
1875,28,9,8,0.0128
2500,28,9,4,0.0064
3125,28,9,6,0.0096
3750,28,9,8,0.0128
4375,28,9,3,0.0048
5000,28,9,7,0.0112
5625,28,9,5,0.008
6250,28,9,9,0.0144
6875,28,9,7,0.0112
7500,28,9,6,0.0096
8125,28,9,4,0.0064
8750,28,9,5,0.008
9375,28,9,4,0.0064
10000,28,9,4,0.0064
