SimulationTime,runNumber,CarID,count,rate
125,12,0,9,0.144
187.5,12,0,6,0.096
250,12,0,3,0.048
312.5,12,0,9,0.144
375,12,0,5,0.08
437.5,12,0,4,0.064
500,12,0,8,0.128
562.5,12,0,7,0.112
625,12,0,6,0.096
687.5,12,0,2,0.032
750,12,0,2,0.032
812.5,12,0,8,0.128
875,12,0,3,0.048
937.5,12,0,8,0.128
1000,12,0,6,0.096
1062.5,12,0,8,0.128
1125,12,0,2,0.032
1187.5,12,0,6,0.096
1250,12,0,5,0.08
1312.5,12,0,2,0.032
1375,12,0,6,0.096
1437.5,12,0,6,0.096
1500,12,0,6,0.096
1562.5,12,0,4,0.064
1625,12,0,6,0.096
1687.5,12,0,8,0.128
1750,12,0,9,0.144
1812.5,12,0,6,0.096
1875,12,0,6,0.096
1937.5,12,0,7,0.112
2000,12,0,9,0.144
2062.5,12,0,4,0.064
2125,12,0,9,0.144
2187.5,12,0,8,0.128
2250,12,0,7,0.112
2312.5,12,0,2,0.032
2375,12,0,8,0.128
2437.5,12,0,6,0.096
2500,12,0,3,0.048
2562.5,12,0,7,0.112
2625,12,0,5,0.08
2687.5,12,0,1,0.016
2750,12,0,8,0.128
2812.5,12,0,7,0.112
2875,12,0,9,0.144
2937.5,12,0,5,0.08
3000,12,0,3,0.048
3062.5,12,0,9,0.144
3125,12,0,7,0.112
3187.5,12,0,3,0.048
3250,12,0,8,0.128
3312.5,12,0,4,0.064
3375,12,0,7,0.112
3437.5,12,0,8,0.128
3500,12,0,7,0.112
3562.5,12,0,4,0.064
3625,12,0,2,0.032
3687.5,12,0,8,0.128
3750,12,0,5,0.08
3812.5,12,0,4,0.064
3875,12,0,5,0.08
3937.5,12,0,5,0.08
4000,12,0,5,0.08
4062.5,12,0,6,0.096
4125,12,0,7,0.112
4187.5,12,0,8,0.128
4250,12,0,8,0.128
4312.5,12,0,6,0.096
4375,12,0,7,0.112
4437.5,12,0,4,0.064
4500,12,0,6,0.096
4562.5,12,0,7,0.112
4625,12,0,9,0.144
4687.5,12,0,8,0.128
4750,12,0,6,0.096
4812.5,12,0,7,0.112
4875,12,0,8,0.128
4937.5,12,0,8,0.128
5000,12,0,7,0.112
5062.5,12,0,2,0.032
5125,12,0,9,0.144
5187.5,12,0,4,0.064
5250,12,0,6,0.096
5312.5,12,0,9,0.144
5375,12,0,4,0.064
5437.5,12,0,7,0.112
5500,12,0,6,0.096
5562.5,12,0,4,0.064
5625,12,0,9,0.144
5687.5,12,0,3,0.048
5750,12,0,7,0.112
5812.5,12,0,7,0.112
5875,12,0,8,0.128
5937.5,12,0,3,0.048
6000,12,0,9,0.144
6062.5,12,0,8,0.128
6125,12,0,6,0.096
6187.5,12,0,4,0.064
6250,12,0,5,0.08
6312.5,12,0,8,0.128
6375,12,0,7,0.112
6437.5,12,0,4,0.064
6500,12,0,6,0.096
6562.5,12,0,8,0.128
6625,12,0,5,0.08
6687.5,12,0,7,0.112
6750,12,0,5,0.08
6812.5,12,0,4,0.064
6875,12,0,6,0.096
6937.5,12,0,8,0.128
7000,12,0,5,0.08
7062.5,12,0,7,0.112
7125,12,0,7,0.112
7187.5,12,0,7,0.112
7250,12,0,9,0.144
7312.5,12,0,6,0.096
7375,12,0,6,0.096
7437.5,12,0,9,0.144
7500,12,0,3,0.048
7562.5,12,0,8,0.128
7625,12,0,5,0.08
7687.5,12,0,9,0.144
7750,12,0,7,0.112
7812.5,12,0,6,0.096
7875,12,0,8,0.128
7937.5,12,0,3,0.048
8000,12,0,8,0.128
8062.5,12,0,6,0.096
8125,12,0,6,0.096
8187.5,12,0,5,0.08
8250,12,0,5,0.08
8312.5,12,0,9,0.144
8375,12,0,8,0.128
8437.5,12,0,3,0.048
8500,12,0,9,0.144
