SimulationTime,runNumber,CarID,count,rate
400,22,0,6,0.015
800,22,0,3,0.0075
1200,22,0,3,0.0075
1600,22,0,3,0.0075
2000,22,0,6,0.015
2400,22,0,6,0.015
2800,22,0,3,0.0075
3200,22,0,5,0.0125
3600,22,0,2,0.005
4000,22,0,8,0.02
4400,22,0,6,0.015
4800,22,0,0,0
5200,22,0,5,0.0125
5600,22,0,3,0.0075
6000,22,0,6,0.015
6400,22,0,3,0.0075
6800,22,0,5,0.0125
7200,22,0,5,0.0125
7600,22,0,7,0.0175
8000,22,0,6,0.015
8400,22,0,1,0.0025
8800,22,0,8,0.02
9200,22,0,8,0.02
9600,22,0,4,0.01
10000,22,0,5,0.0125
400,22,1,4,0.01
800,22,1,6,0.015
1200,22,1,7,0.0175
1600,22,1,4,0.01
2000,22,1,4,0.01
2400,22,1,6,0.015
2800,22,1,2,0.005
3200,22,1,2,0.005
3600,22,1,2,0.005
4000,22,1,7,0.0175
4400,22,1,8,0.02
4800,22,1,8,0.02
5200,22,1,5,0.0125
5600,22,1,6,0.015
6000,22,1,7,0.0175
6400,22,1,4,0.01
6800,22,1,5,0.0125
7200,22,1,3,0.0075
7600,22,1,6,0.015
8000,22,1,3,0.0075
8400,22,1,3,0.0075
8800,22,1,6,0.015
9200,22,1,5,0.0125
9600,22,1,0,0
10000,22,1,6,0.015
400,22,2,4,0.01
800,22,2,6,0.015
1200,22,2,7,0.0175
1600,22,2,4,0.01
2000,22,2,5,0.0125
2400,22,2,1,0.0025
2800,22,2,6,0.015
3200,22,2,3,0.0075
3600,22,2,3,0.0075
4000,22,2,7,0.0175
4400,22,2,5,0.0125
4800,22,2,5,0.0125
5200,22,2,2,0.005
5600,22,2,6,0.015
6000,22,2,7,0.0175
6400,22,2,4,0.01
6800,22,2,5,0.0125
7200,22,2,3,0.0075
7600,22,2,7,0.0175
8000,22,2,8,0.02
8400,22,2,4,0.01
8800,22,2,6,0.015
9200,22,2,6,0.015
9600,22,2,0,0
10000,22,2,3,0.0075
400,22,3,7,0.0175
800,22,3,6,0.015
1200,22,3,4,0.01
1600,22,3,2,0.005
2000,22,3,2,0.005
2400,22,3,3,0.0075
2800,22,3,5,0.0125
3200,22,3,6,0.015
3600,22,3,2,0.005
4000,22,3,7,0.0175
4400,22,3,7,0.0175
4800,22,3,6,0.015
5200,22,3,3,0.0075
5600,22,3,5,0.0125
6000,22,3,1,0.0025
6400,22,3,3,0.0075
6800,22,3,2,0.005
7200,22,3,6,0.015
7600,22,3,7,0.0175
8000,22,3,3,0.0075
8400,22,3,3,0.0075
8800,22,3,9,0.0225
9200,22,3,2,0.005
9600,22,3,6,0.015
10000,22,3,2,0.005
400,22,4,5,0.0125
800,22,4,6,0.015
1200,22,4,5,0.0125
1600,22,4,3,0.0075
2000,22,4,5,0.0125
2400,22,4,2,0.005
2800,22,4,4,0.01
3200,22,4,3,0.0075
3600,22,4,2,0.005
4000,22,4,8,0.02
4400,22,4,2,0.005
4800,22,4,8,0.02
5200,22,4,6,0.015
5600,22,4,4,0.01
6000,22,4,6,0.015
6400,22,4,3,0.0075
6800,22,4,2,0.005
7200,22,4,6,0.015
7600,22,4,5,0.0125
8000,22,4,5,0.0125
8400,22,4,3,0.0075
8800,22,4,7,0.0175
9200,22,4,6,0.015
9600,22,4,6,0.015
10000,22,4,5,0.0125
400,22,5,2,0.005
800,22,5,3,0.0075
1200,22,5,5,0.0125
1600,22,5,4,0.01
2000,22,5,6,0.015
2400,22,5,6,0.015
2800,22,5,5,0.0125
3200,22,5,6,0.015
3600,22,5,5,0.0125
4000,22,5,3,0.0075
4400,22,5,3,0.0075
4800,22,5,8,0.02
5200,22,5,1,0.0025
5600,22,5,6,0.015
6000,22,5,1,0.0025
6400,22,5,2,0.005
6800,22,5,6,0.015
7200,22,5,3,0.0075
7600,22,5,5,0.0125
8000,22,5,2,0.005
8400,22,5,5,0.0125
8800,22,5,2,0.005
9200,22,5,2,0.005
9600,22,5,5,0.0125
10000,22,5,5,0.0125
400,22,6,3,0.0075
800,22,6,8,0.02
1200,22,6,5,0.0125
1600,22,6,4,0.01
2000,22,6,3,0.0075
2400,22,6,5,0.0125
2800,22,6,6,0.015
3200,22,6,5,0.0125
3600,22,6,1,0.0025
4000,22,6,6,0.015
4400,22,6,7,0.0175
4800,22,6,5,0.0125
5200,22,6,3,0.0075
5600,22,6,8,0.02
6000,22,6,6,0.015
