SimulationTime,runNumber,CarID,count,rate
400,23,0,7,0.0175
800,23,0,4,0.01
1200,23,0,8,0.02
1600,23,0,3,0.0075
2000,23,0,5,0.0125
2400,23,0,9,0.0225
2800,23,0,3,0.0075
3200,23,0,5,0.0125
3600,23,0,4,0.01
4000,23,0,7,0.0175
4400,23,0,4,0.01
4800,23,0,4,0.01
5200,23,0,2,0.005
5600,23,0,8,0.02
6000,23,0,8,0.02
6400,23,0,5,0.0125
6800,23,0,2,0.005
7200,23,0,5,0.0125
7600,23,0,8,0.02
8000,23,0,7,0.0175
8400,23,0,2,0.005
8800,23,0,3,0.0075
9200,23,0,8,0.02
9600,23,0,3,0.0075
10000,23,0,4,0.01
400,23,1,6,0.015
800,23,1,7,0.0175
1200,23,1,1,0.0025
1600,23,1,7,0.0175
2000,23,1,5,0.0125
2400,23,1,5,0.0125
2800,23,1,3,0.0075
3200,23,1,5,0.0125
3600,23,1,3,0.0075
4000,23,1,8,0.02
4400,23,1,4,0.01
4800,23,1,4,0.01
5200,23,1,6,0.015
5600,23,1,7,0.0175
6000,23,1,7,0.0175
6400,23,1,3,0.0075
6800,23,1,5,0.0125
7200,23,1,5,0.0125
7600,23,1,6,0.015
8000,23,1,6,0.015
8400,23,1,5,0.0125
8800,23,1,4,0.01
9200,23,1,7,0.0175
9600,23,1,5,0.0125
10000,23,1,2,0.005
400,23,2,5,0.0125
800,23,2,4,0.01
1200,23,2,8,0.02
1600,23,2,6,0.015
2000,23,2,8,0.02
2400,23,2,4,0.01
2800,23,2,5,0.0125
3200,23,2,9,0.0225
3600,23,2,1,0.0025
4000,23,2,6,0.015
4400,23,2,2,0.005
4800,23,2,1,0.0025
5200,23,2,4,0.01
5600,23,2,6,0.015
6000,23,2,7,0.0175
6400,23,2,4,0.01
6800,23,2,2,0.005
7200,23,2,4,0.01
7600,23,2,5,0.0125
8000,23,2,7,0.0175
8400,23,2,1,0.0025
8800,23,2,2,0.005
9200,23,2,8,0.02
9600,23,2,2,0.005
10000,23,2,1,0.0025
400,23,3,4,0.01
800,23,3,5,0.0125
1200,23,3,7,0.0175
1600,23,3,8,0.02
2000,23,3,4,0.01
2400,23,3,4,0.01
2800,23,3,2,0.005
3200,23,3,7,0.0175
3600,23,3,4,0.01
4000,23,3,4,0.01
4400,23,3,6,0.015
4800,23,3,5,0.0125
5200,23,3,5,0.0125
5600,23,3,4,0.01
6000,23,3,7,0.0175
6400,23,3,7,0.0175
6800,23,3,5,0.0125
7200,23,3,3,0.0075
7600,23,3,2,0.005
