SimulationTime,runNumber,CarID,count,rate
625,26,0,5,0.008
1250,26,0,3,0.0048
1875,26,0,7,0.0112
2500,26,0,4,0.0064
3125,26,0,7,0.0112
3750,26,0,7,0.0112
4375,26,0,7,0.0112
5000,26,0,7,0.0112
5625,26,0,9,0.0144
6250,26,0,6,0.0096
6875,26,0,3,0.0048
7500,26,0,8,0.0128
8125,26,0,8,0.0128
8750,26,0,6,0.0096
9375,26,0,6,0.0096
10000,26,0,9,0.0144
625,26,1,4,0.0064
1250,26,1,9,0.0144
1875,26,1,6,0.0096
2500,26,1,4,0.0064
3125,26,1,9,0.0144
3750,26,1,1,0.0016
4375,26,1,4,0.0064
5000,26,1,4,0.0064
5625,26,1,9,0.0144
6250,26,1,8,0.0128
6875,26,1,8,0.0128
7500,26,1,1,0.0016
8125,26,1,9,0.0144
8750,26,1,8,0.0128
9375,26,1,2,0.0032
10000,26,1,9,0.0144
625,26,2,4,0.0064
1250,26,2,6,0.0096
1875,26,2,5,0.008
2500,26,2,4,0.0064
3125,26,2,7,0.0112
3750,26,2,6,0.0096
4375,26,2,8,0.0128
5000,26,2,5,0.008
5625,26,2,8,0.0128
6250,26,2,5,0.008
6875,26,2,8,0.0128
7500,26,2,7,0.0112
8125,26,2,7,0.0112
8750,26,2,8,0.0128
9375,26,2,4,0.0064
10000,26,2,7,0.0112
625,26,3,5,0.008
1250,26,3,5,0.008
1875,26,3,7,0.0112
2500,26,3,4,0.0064
3125,26,3,6,0.0096
3750,26,3,6,0.0096
4375,26,3,3,0.0048
5000,26,3,6,0.0096
5625,26,3,9,0.0144
6250,26,3,6,0.0096
6875,26,3,9,0.0144
7500,26,3,8,0.0128
8125,26,3,3,0.0048
8750,26,3,6,0.0096
9375,26,3,5,0.008
10000,26,3,7,0.0112
625,26,4,4,0.0064
1250,26,4,6,0.0096
1875,26,4,4,0.0064
2500,26,4,8,0.0128
3125,26,4,9,0.0144
3750,26,4,5,0.008
4375,26,4,7,0.0112
5000,26,4,5,0.008
5625,26,4,5,0.008
6250,26,4,9,0.0144
6875,26,4,8,0.0128
7500,26,4,7,0.0112
8125,26,4,6,0.0096
8750,26,4,4,0.0064
9375,26,4,4,0.0064
10000,26,4,6,0.0096
625,26,5,6,0.0096
1250,26,5,8,0.0128
1875,26,5,5,0.008
2500,26,5,4,0.0064
3125,26,5,9,0.0144
3750,26,5,2,0.0032
4375,26,5,7,0.0112
5000,26,5,2,0.0032
5625,26,5,9,0.0144
6250,26,5,9,0.0144
6875,26,5,9,0.0144
7500,26,5,8,0.0128
8125,26,5,7,0.0112
8750,26,5,8,0.0128
9375,26,5,5,0.008
10000,26,5,6,0.0096
625,26,6,8,0.0128
1250,26,6,8,0.0128
1875,26,6,7,0.0112
2500,26,6,5,0.008
3125,26,6,5,0.008
3750,26,6,7,0.0112
4375,26,6,7,0.0112
5000,26,6,7,0.0112
5625,26,6,8,0.0128
6250,26,6,4,0.0064
6875,26,6,9,0.0144
7500,26,6,2,0.0032
8125,26,6,2,0.0032
8750,26,6,9,0.0144
9375,26,6,1,0.0016
10000,26,6,5,0.008
625,26,7,6,0.0096
1250,26,7,4,0.0064
1875,26,7,6,0.0096
2500,26,7,7,0.0112
3125,26,7,8,0.0128
3750,26,7,4,0.0064
4375,26,7,8,0.0128
5000,26,7,5,0.008
5625,26,7,8,0.0128
6250,26,7,7,0.0112
6875,26,7,8,0.0128
7500,26,7,7,0.0112
8125,26,7,7,0.0112
8750,26,7,7,0.0112
9375,26,7,7,0.0112
10000,26,7,8,0.0128
625,26,8,7,0.0112
1250,26,8,7,0.0112
1875,26,8,3,0.0048
2500,26,8,2,0.0032
3125,26,8,7,0.0112
3750,26,8,5,0.008
4375,26,8,8,0.0128
5000,26,8,6,0.0096
5625,26,8,8,0.0128
6250,26,8,6,0.0096
6875,26,8,8,0.0128
7500,26,8,7,0.0112
8125,26,8,7,0.0112
8750,26,8,9,0.0144
9375,26,8,5,0.008
10000,26,8,9,0.0144
625,26,9,5,0.008
1250,26,9,4,0.0064
1875,26,9,4,0.0064
2500,26,9,6,0.0096
3125,26,9,9,0.0144
3750,26,9,5,0.008
4375,26,9,5,0.008
5000,26,9,3,0.0048
5625,26,9,7,0.0112
6250,26,9,6,0.0096
6875,26,9,8,0.0128
7500,26,9,7,0.0112
8125,26,9,8,0.0128
8750,26,9,7,0.0112
9375,26,9,7,0.0112
10000,26,9,6,0.0096
