SimulationTime,runNumber,CarID,count,rate
125,10,0,9,0.144
187.5,10,0,6,0.096
250,10,0,9,0.144
312.5,10,0,8,0.128
375,10,0,8,0.128
437.5,10,0,8,0.128
500,10,0,6,0.096
562.5,10,0,6,0.096
625,10,0,9,0.144
687.5,10,0,7,0.112
750,10,0,2,0.032
812.5,10,0,7,0.112
875,10,0,3,0.048
937.5,10,0,3,0.048
1000,10,0,7,0.112
1062.5,10,0,9,0.144
1125,10,0,2,0.032
1187.5,10,0,4,0.064
1250,10,0,4,0.064
1312.5,10,0,8,0.128
1375,10,0,2,0.032
1437.5,10,0,6,0.096
1500,10,0,4,0.064
1562.5,10,0,5,0.08
1625,10,0,5,0.08
1687.5,10,0,5,0.08
1750,10,0,2,0.032
1812.5,10,0,9,0.144
1875,10,0,6,0.096
1937.5,10,0,6,0.096
2000,10,0,7,0.112
2062.5,10,0,5,0.08
2125,10,0,3,0.048
2187.5,10,0,3,0.048
2250,10,0,9,0.144
2312.5,10,0,5,0.08
2375,10,0,3,0.048
2437.5,10,0,4,0.064
2500,10,0,8,0.128
2562.5,10,0,5,0.08
2625,10,0,8,0.128
2687.5,10,0,9,0.144
2750,10,0,4,0.064
2812.5,10,0,6,0.096
2875,10,0,9,0.144
2937.5,10,0,8,0.128
3000,10,0,4,0.064
3062.5,10,0,8,0.128
3125,10,0,7,0.112
3187.5,10,0,4,0.064
3250,10,0,6,0.096
3312.5,10,0,6,0.096
3375,10,0,9,0.144
3437.5,10,0,7,0.112
3500,10,0,9,0.144
3562.5,10,0,4,0.064
3625,10,0,7,0.112
3687.5,10,0,6,0.096
3750,10,0,7,0.112
3812.5,10,0,5,0.08
3875,10,0,5,0.08
3937.5,10,0,4,0.064
4000,10,0,7,0.112
4062.5,10,0,3,0.048
4125,10,0,5,0.08
4187.5,10,0,8,0.128
4250,10,0,6,0.096
4312.5,10,0,7,0.112
4375,10,0,6,0.096
4437.5,10,0,7,0.112
4500,10,0,9,0.144
4562.5,10,0,2,0.032
4625,10,0,4,0.064
4687.5,10,0,6,0.096
4750,10,0,5,0.08
4812.5,10,0,4,0.064
4875,10,0,8,0.128
4937.5,10,0,7,0.112
5000,10,0,5,0.08
5062.5,10,0,7,0.112
5125,10,0,3,0.048
5187.5,10,0,3,0.048
5250,10,0,5,0.08
5312.5,10,0,8,0.128
5375,10,0,6,0.096
5437.5,10,0,6,0.096
5500,10,0,5,0.08
5562.5,10,0,6,0.096
5625,10,0,4,0.064
5687.5,10,0,5,0.08
5750,10,0,6,0.096
5812.5,10,0,2,0.032
5875,10,0,6,0.096
5937.5,10,0,9,0.144
6000,10,0,7,0.112
6062.5,10,0,8,0.128
6125,10,0,6,0.096
6187.5,10,0,9,0.144
6250,10,0,2,0.032
