SimulationTime,runNumber,CarID,count,rate
625,27,0,5,0.008
1250,27,0,5,0.008
1875,27,0,6,0.0096
2500,27,0,0,0
3125,27,0,7,0.0112
3750,27,0,8,0.0128
4375,27,0,4,0.0064
5000,27,0,6,0.0096
5625,27,0,8,0.0128
6250,27,0,6,0.0096
6875,27,0,8,0.0128
7500,27,0,8,0.0128
8125,27,0,7,0.0112
8750,27,0,8,0.0128
9375,27,0,8,0.0128
10000,27,0,7,0.0112
625,27,1,6,0.0096
1250,27,1,6,0.0096
1875,27,1,1,0.0016
2500,27,1,3,0.0048
3125,27,1,8,0.0128
3750,27,1,7,0.0112
4375,27,1,7,0.0112
5000,27,1,9,0.0144
5625,27,1,6,0.0096
6250,27,1,7,0.0112
6875,27,1,9,0.0144
7500,27,1,8,0.0128
8125,27,1,8,0.0128
8750,27,1,4,0.0064
9375,27,1,6,0.0096
10000,27,1,6,0.0096
625,27,2,4,0.0064
1250,27,2,8,0.0128
1875,27,2,8,0.0128
2500,27,2,4,0.0064
3125,27,2,5,0.008
3750,27,2,5,0.008
4375,27,2,8,0.0128
5000,27,2,4,0.0064
5625,27,2,9,0.0144
6250,27,2,2,0.0032
6875,27,2,9,0.0144
7500,27,2,7,0.0112
8125,27,2,3,0.0048
8750,27,2,3,0.0048
9375,27,2,7,0.0112
10000,27,2,8,0.0128
625,27,3,7,0.0112
1250,27,3,3,0.0048
1875,27,3,8,0.0128
2500,27,3,5,0.008
3125,27,3,7,0.0112
3750,27,3,9,0.0144
4375,27,3,7,0.0112
5000,27,3,6,0.0096
5625,27,3,8,0.0128
6250,27,3,1,0.0016
6875,27,3,7,0.0112
7500,27,3,7,0.0112
8125,27,3,8,0.0128
8750,27,3,7,0.0112
9375,27,3,3,0.0048
10000,27,3,4,0.0064
625,27,4,8,0.0128
1250,27,4,7,0.0112
1875,27,4,7,0.0112
2500,27,4,5,0.008
3125,27,4,8,0.0128
3750,27,4,4,0.0064
4375,27,4,7,0.0112
5000,27,4,4,0.0064
5625,27,4,7,0.0112
6250,27,4,5,0.008
6875,27,4,5,0.008
7500,27,4,8,0.0128
8125,27,4,7,0.0112
8750,27,4,5,0.008
9375,27,4,4,0.0064
10000,27,4,7,0.0112
625,27,5,6,0.0096
1250,27,5,9,0.0144
1875,27,5,8,0.0128
2500,27,5,8,0.0128
3125,27,5,8,0.0128
3750,27,5,5,0.008
4375,27,5,8,0.0128
5000,27,5,6,0.0096
5625,27,5,9,0.0144
6250,27,5,5,0.008
6875,27,5,7,0.0112
7500,27,5,4,0.0064
8125,27,5,8,0.0128
8750,27,5,5,0.008
9375,27,5,4,0.0064
10000,27,5,5,0.008
625,27,6,8,0.0128
1250,27,6,8,0.0128
1875,27,6,6,0.0096
2500,27,6,5,0.008
3125,27,6,4,0.0064
3750,27,6,8,0.0128
4375,27,6,6,0.0096
5000,27,6,5,0.008
5625,27,6,7,0.0112
6250,27,6,6,0.0096
6875,27,6,6,0.0096
7500,27,6,7,0.0112
8125,27,6,7,0.0112
8750,27,6,8,0.0128
9375,27,6,0,0
10000,27,6,8,0.0128
625,27,7,7,0.0112
1250,27,7,8,0.0128
1875,27,7,8,0.0128
2500,27,7,5,0.008
3125,27,7,7,0.0112
3750,27,7,8,0.0128
4375,27,7,3,0.0048
5000,27,7,8,0.0128
5625,27,7,8,0.0128
6250,27,7,7,0.0112
6875,27,7,4,0.0064
7500,27,7,9,0.0144
8125,27,7,8,0.0128
8750,27,7,5,0.008
9375,27,7,6,0.0096
10000,27,7,8,0.0128
625,27,8,2,0.0032
1250,27,8,6,0.0096
1875,27,8,8,0.0128
2500,27,8,6,0.0096
3125,27,8,7,0.0112
3750,27,8,9,0.0144
4375,27,8,8,0.0128
5000,27,8,9,0.0144
5625,27,8,6,0.0096
6250,27,8,6,0.0096
6875,27,8,7,0.0112
7500,27,8,8,0.0128
8125,27,8,4,0.0064
8750,27,8,5,0.008
9375,27,8,5,0.008
10000,27,8,8,0.0128
625,27,9,5,0.008
1250,27,9,8,0.0128
1875,27,9,6,0.0096
2500,27,9,3,0.0048
3125,27,9,3,0.0048
3750,27,9,7,0.0112
4375,27,9,6,0.0096
5000,27,9,5,0.008
5625,27,9,4,0.0064
6250,27,9,5,0.008
6875,27,9,6,0.0096
7500,27,9,8,0.0128
8125,27,9,4,0.0064
8750,27,9,6,0.0096
9375,27,9,7,0.0112
10000,27,9,1,0.0016
