SimulationTime,runNumber,CarID,count,rate
125,13,0,6,0.096
187.5,13,0,9,0.144
250,13,0,4,0.064
312.5,13,0,7,0.112
375,13,0,8,0.128
437.5,13,0,3,0.048
500,13,0,6,0.096
562.5,13,0,8,0.128
625,13,0,4,0.064
687.5,13,0,6,0.096
750,13,0,4,0.064
812.5,13,0,8,0.128
875,13,0,3,0.048
937.5,13,0,8,0.128
1000,13,0,0,0
1062.5,13,0,6,0.096
1125,13,0,8,0.128
1187.5,13,0,6,0.096
1250,13,0,7,0.112
1312.5,13,0,9,0.144
1375,13,0,8,0.128
1437.5,13,0,2,0.032
1500,13,0,8,0.128
1562.5,13,0,8,0.128
1625,13,0,9,0.144
1687.5,13,0,4,0.064
1750,13,0,5,0.08
1812.5,13,0,8,0.128
1875,13,0,4,0.064
1937.5,13,0,6,0.096
2000,13,0,8,0.128
2062.5,13,0,9,0.144
2125,13,0,4,0.064
2187.5,13,0,7,0.112
2250,13,0,7,0.112
2312.5,13,0,5,0.08
2375,13,0,5,0.08
2437.5,13,0,1,0.016
2500,13,0,7,0.112
2562.5,13,0,8,0.128
2625,13,0,3,0.048
2687.5,13,0,5,0.08
2750,13,0,8,0.128
2812.5,13,0,8,0.128
2875,13,0,8,0.128
2937.5,13,0,8,0.128
3000,13,0,7,0.112
3062.5,13,0,8,0.128
3125,13,0,5,0.08
3187.5,13,0,5,0.08
3250,13,0,4,0.064
3312.5,13,0,6,0.096
3375,13,0,7,0.112
3437.5,13,0,8,0.128
3500,13,0,9,0.144
3562.5,13,0,5,0.08
3625,13,0,6,0.096
3687.5,13,0,8,0.128
3750,13,0,7,0.112
3812.5,13,0,4,0.064
3875,13,0,7,0.112
3937.5,13,0,7,0.112
4000,13,0,8,0.128
4062.5,13,0,8,0.128
4125,13,0,3,0.048
4187.5,13,0,5,0.08
4250,13,0,4,0.064
4312.5,13,0,9,0.144
4375,13,0,2,0.032
4437.5,13,0,8,0.128
4500,13,0,5,0.08
4562.5,13,0,5,0.08
4625,13,0,8,0.128
4687.5,13,0,4,0.064
4750,13,0,4,0.064
4812.5,13,0,6,0.096
4875,13,0,6,0.096
4937.5,13,0,6,0.096
5000,13,0,5,0.08
5062.5,13,0,4,0.064
5125,13,0,4,0.064
5187.5,13,0,3,0.048
5250,13,0,9,0.144
5312.5,13,0,6,0.096
5375,13,0,6,0.096
5437.5,13,0,8,0.128
5500,13,0,8,0.128
5562.5,13,0,9,0.144
5625,13,0,5,0.08
5687.5,13,0,7,0.112
5750,13,0,9,0.144
5812.5,13,0,8,0.128
5875,13,0,7,0.112
5937.5,13,0,8,0.128
6000,13,0,6,0.096
6062.5,13,0,6,0.096
6125,13,0,3,0.048
6187.5,13,0,7,0.112
6250,13,0,3,0.048
6312.5,13,0,4,0.064
6375,13,0,8,0.128
6437.5,13,0,7,0.112
6500,13,0,7,0.112
6562.5,13,0,6,0.096
6625,13,0,5,0.08
6687.5,13,0,7,0.112
6750,13,0,9,0.144
6812.5,13,0,5,0.08
6875,13,0,8,0.128
6937.5,13,0,7,0.112
7000,13,0,5,0.08
7062.5,13,0,6,0.096
7125,13,0,8,0.128
7187.5,13,0,9,0.144
7250,13,0,2,0.032
7312.5,13,0,7,0.112
7375,13,0,7,0.112
7437.5,13,0,2,0.032
7500,13,0,7,0.112
7562.5,13,0,2,0.032
7625,13,0,4,0.064
7687.5,13,0,9,0.144
7750,13,0,6,0.096
7812.5,13,0,7,0.112
7875,13,0,9,0.144
7937.5,13,0,5,0.08
8000,13,0,6,0.096
8062.5,13,0,6,0.096
8125,13,0,8,0.128
8187.5,13,0,6,0.096
8250,13,0,8,0.128
8312.5,13,0,3,0.048
8375,13,0,8,0.128
8437.5,13,0,8,0.128
8500,13,0,3,0.048
8562.5,13,0,4,0.064
8625,13,0,3,0.048
8687.5,13,0,6,0.096
8750,13,0,5,0.08
8812.5,13,0,6,0.096
8875,13,0,2,0.032
8937.5,13,0,5,0.08
9000,13,0,7,0.112
9062.5,13,0,3,0.048
9125,13,0,8,0.128
9187.5,13,0,4,0.064
9250,13,0,7,0.112
9312.5,13,0,8,0.128
9375,13,0,5,0.08
9437.5,13,0,5,0.08
9500,13,0,5,0.08
9562.5,13,0,2,0.032
