SimulationTime,runNumber,CarID,count,rate
400,21,0,7,0.0175
800,21,0,7,0.0175
1200,21,0,7,0.0175
1600,21,0,8,0.02
2000,21,0,5,0.0125
2400,21,0,6,0.015
2800,21,0,6,0.015
3200,21,0,9,0.0225
3600,21,0,8,0.02
4000,21,0,4,0.01
4400,21,0,5,0.0125
4800,21,0,5,0.0125
5200,21,0,3,0.0075
5600,21,0,2,0.005
6000,21,0,5,0.0125
6400,21,0,7,0.0175
6800,21,0,3,0.0075
7200,21,0,4,0.01
7600,21,0,3,0.0075
8000,21,0,4,0.01
8400,21,0,3,0.0075
8800,21,0,3,0.0075
9200,21,0,5,0.0125
9600,21,0,5,0.0125
10000,21,0,3,0.0075
400,21,1,7,0.0175
800,21,1,6,0.015
1200,21,1,6,0.015
1600,21,1,8,0.02
2000,21,1,4,0.01
2400,21,1,4,0.01
2800,21,1,5,0.0125
3200,21,1,7,0.0175
3600,21,1,6,0.015
4000,21,1,6,0.015
4400,21,1,7,0.0175
4800,21,1,3,0.0075
5200,21,1,5,0.0125
5600,21,1,7,0.0175
6000,21,1,4,0.01
6400,21,1,5,0.0125
6800,21,1,2,0.005
7200,21,1,7,0.0175
7600,21,1,6,0.015
8000,21,1,3,0.0075
8400,21,1,3,0.0075
8800,21,1,3,0.0075
9200,21,1,6,0.015
9600,21,1,8,0.02
10000,21,1,2,0.005
400,21,2,8,0.02
800,21,2,2,0.005
1200,21,2,5,0.0125
1600,21,2,3,0.0075
2000,21,2,3,0.0075
2400,21,2,6,0.015
2800,21,2,6,0.015
3200,21,2,9,0.0225
3600,21,2,8,0.02
4000,21,2,3,0.0075
4400,21,2,1,0.0025
4800,21,2,3,0.0075
5200,21,2,7,0.0175
5600,21,2,4,0.01
6000,21,2,3,0.0075
6400,21,2,2,0.005
6800,21,2,5,0.0125
7200,21,2,7,0.0175
7600,21,2,3,0.0075
8000,21,2,5,0.0125
8400,21,2,3,0.0075
8800,21,2,3,0.0075
9200,21,2,8,0.02
9600,21,2,6,0.015
10000,21,2,4,0.01
400,21,3,7,0.0175
800,21,3,4,0.01
1200,21,3,6,0.015
1600,21,3,6,0.015
2000,21,3,4,0.01
2400,21,3,4,0.01
2800,21,3,7,0.0175
3200,21,3,8,0.02
3600,21,3,5,0.0125
4000,21,3,6,0.015
4400,21,3,5,0.0125
4800,21,3,5,0.0125
5200,21,3,7,0.0175
5600,21,3,2,0.005
6000,21,3,3,0.0075
6400,21,3,8,0.02
6800,21,3,5,0.0125
7200,21,3,5,0.0125
7600,21,3,4,0.01
8000,21,3,3,0.0075
8400,21,3,3,0.0075
8800,21,3,3,0.0075
9200,21,3,8,0.02
9600,21,3,9,0.0225
10000,21,3,2,0.005
400,21,4,8,0.02
800,21,4,1,0.0025
1200,21,4,7,0.0175
1600,21,4,8,0.02
2000,21,4,6,0.015
2400,21,4,6,0.015
2800,21,4,1,0.0025
3200,21,4,8,0.02
3600,21,4,5,0.0125
4000,21,4,3,0.0075
4400,21,4,4,0.01
4800,21,4,1,0.0025
5200,21,4,5,0.0125
5600,21,4,2,0.005
6000,21,4,5,0.0125
6400,21,4,6,0.015
6800,21,4,7,0.0175
7200,21,4,3,0.0075
7600,21,4,3,0.0075
8000,21,4,5,0.0125
8400,21,4,4,0.01
8800,21,4,3,0.0075
9200,21,4,5,0.0125
9600,21,4,3,0.0075
10000,21,4,2,0.005
400,21,5,7,0.0175
800,21,5,4,0.01
1200,21,5,1,0.0025
1600,21,5,8,0.02
2000,21,5,0,0
2400,21,5,2,0.005
2800,21,5,4,0.01
3200,21,5,8,0.02
3600,21,5,7,0.0175
4000,21,5,4,0.01
4400,21,5,4,0.01
4800,21,5,6,0.015
5200,21,5,3,0.0075
5600,21,5,4,0.01
6000,21,5,4,0.01
6400,21,5,5,0.0125
6800,21,5,3,0.0075
7200,21,5,2,0.005
7600,21,5,3,0.0075
8000,21,5,4,0.01
8400,21,5,4,0.01
8800,21,5,3,0.0075
9200,21,5,3,0.0075
9600,21,5,7,0.0175
10000,21,5,4,0.01
400,21,6,7,0.0175
800,21,6,6,0.015
1200,21,6,7,0.0175
1600,21,6,9,0.0225
2000,21,6,1,0.0025
2400,21,6,1,0.0025
2800,21,6,3,0.0075
3200,21,6,3,0.0075
3600,21,6,1,0.0025
4000,21,6,4,0.01
4400,21,6,7,0.0175
4800,21,6,4,0.01
5200,21,6,7,0.0175
5600,21,6,5,0.0125
6000,21,6,5,0.0125
6400,21,6,4,0.01
6800,21,6,5,0.0125
7200,21,6,7,0.0175
7600,21,6,4,0.01
8000,21,6,3,0.0075
8400,21,6,5,0.0125
8800,21,6,4,0.01
9200,21,6,6,0.015
9600,21,6,7,0.0175
10000,21,6,6,0.015
400,21,7,0,0
800,21,7,6,0.015
1200,21,7,7,0.0175
1600,21,7,8,0.02
2000,21,7,3,0.0075
2400,21,7,6,0.015
2800,21,7,6,0.015
3200,21,7,8,0.02
3600,21,7,6,0.015
4000,21,7,2,0.005
4400,21,7,3,0.0075
4800,21,7,6,0.015
5200,21,7,7,0.0175
5600,21,7,4,0.01
6000,21,7,5,0.0125
6400,21,7,1,0.0025
6800,21,7,3,0.0075
7200,21,7,7,0.0175
7600,21,7,3,0.0075
8000,21,7,4,0.01
8400,21,7,0,0
8800,21,7,3,0.0075
9200,21,7,4,0.01
9600,21,7,5,0.0125
10000,21,7,3,0.0075
400,21,8,8,0.02
800,21,8,6,0.015
1200,21,8,2,0.005
1600,21,8,7,0.0175
2000,21,8,4,0.01
2400,21,8,6,0.015
2800,21,8,1,0.0025
3200,21,8,8,0.02
3600,21,8,8,0.02
4000,21,8,7,0.0175
4400,21,8,4,0.01
4800,21,8,6,0.015
5200,21,8,7,0.0175
5600,21,8,0,0
6000,21,8,8,0.02
6400,21,8,5,0.0125
6800,21,8,4,0.01
7200,21,8,6,0.015
7600,21,8,2,0.005
8000,21,8,1,0.0025
8400,21,8,0,0
8800,21,8,4,0.01
9200,21,8,8,0.02
9600,21,8,5,0.0125
10000,21,8,5,0.0125
400,21,9,3,0.0075
800,21,9,6,0.015
1200,21,9,2,0.005
1600,21,9,7,0.0175
2000,21,9,6,0.015
2400,21,9,1,0.0025
2800,21,9,7,0.0175
3200,21,9,8,0.02
3600,21,9,4,0.01
4000,21,9,3,0.0075
4400,21,9,4,0.01
4800,21,9,3,0.0075
5200,21,9,7,0.0175
5600,21,9,4,0.01
6000,21,9,4,0.01
6400,21,9,3,0.0075
6800,21,9,5,0.0125
7200,21,9,6,0.015
7600,21,9,5,0.0125
8000,21,9,6,0.015
8400,21,9,3,0.0075
8800,21,9,1,0.0025
9200,21,9,7,0.0175
9600,21,9,5,0.0125
10000,21,9,5,0.0125
